X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
132.856842,33.624835,319,Ehime,Japan,2022/09/11 05:20:45+00,33.624835,132.856842,150646,281
136.224654,35.846614,320,Fukui,Japan,2022/09/11 05:20:45+00,35.846614,136.224654,104862,94
130.666949,33.526032,321,Fukuoka,Japan,2022/09/11 05:20:45+00,33.526032,130.666949,1035471,1850
140.223295,37.378867,322,Fukushima,Japan,2022/09/11 05:20:45+00,37.378867,140.223295,169998,251
137.055925,35.778671,323,Gifu,Japan,2022/09/11 05:20:45+00,35.778671,137.055925,271016,535
138.985605,36.504479,324,Gunma,Japan,2022/09/11 05:20:45+00,36.504479,138.985605,218416,455
132.788719,34.605309,325,Hiroshima,Japan,2022/09/11 05:20:45+00,34.605309,132.788719,396601,700
142.552318,43.385711,326,Hokkaido,Japan,2022/09/11 05:20:45+00,43.385711,142.552318,697045,2502
134.828057,35.039913,327,Hyogo,Japan,2022/09/11 05:20:45+00,35.039913,134.828057,958828,2756
140.319591,36.303588,328,Ibaraki,Japan,2022/09/11 05:20:45+00,36.303588,140.319591,338672,622
136.771027,36.769464,329,Ishikawa,Japan,2022/09/11 05:20:45+00,36.769464,136.771027,149837,262
141.361777,39.593287,330,Iwate,Japan,2022/09/11 05:20:45+00,39.593287,141.361777,99716,176
133.969047,34.217292,331,Kagawa,Japan,2022/09/11 05:20:45+00,34.217292,133.969047,131799,271
130.430665,31.009484,332,Kagoshima,Japan,2022/09/11 05:20:45+00,31.009484,130.430665,280340,492
139.338983,35.415312,333,Kanagawa,Japan,2022/09/11 05:20:45+00,35.415312,139.338983,1412229,2899
133.367307,33.422519,334,Kochi,Japan,2022/09/11 05:20:45+00,33.422519,133.367307,92973,276
130.745231,32.608154,335,Kumamoto,Japan,2022/09/11 05:20:45+00,32.608154,130.745231,312984,592
135.443341,35.253815,336,Kyoto,Japan,2022/09/11 05:20:45+00,35.253815,135.443341,452775,966
136.376013,34.508018,337,Mie,Japan,2022/09/11 05:20:45+00,34.508018,136.376013,233125,489
140.927086,38.446859,338,Miyagi,Japan,2022/09/11 05:20:45+00,38.446859,140.927086,242226,347
131.299374,32.193204,339,Miyazaki,Japan,2022/09/11 05:20:45+00,32.193204,131.299374,182777,331
138.045528,36.132134,340,Nagano,Japan,2022/09/11 05:20:45+00,36.132134,138.045528,189928,320
129.608033,33.235712,341,Nagasaki,Japan,2022/09/11 05:20:45+00,33.235712,129.608033,201588,308
135.871644,34.317451,342,Nara,Japan,2022/09/11 05:20:45+00,34.317451,135.871644,207446,509
138.918647,37.521819,343,Niigata,Japan,2022/09/11 05:20:45+00,37.521819,138.918647,214417,131
131.43324,33.200697,344,Oita,Japan,2022/09/11 05:20:45+00,33.200697,131.43324,165805,322
133.826252,34.89246,345,Okayama,Japan,2022/09/11 05:20:45+00,34.89246,133.826252,253489,384
126.668016,25.768923,346,Okinawa,Japan,2022/09/11 05:20:45+00,25.768923,126.668016,488870,669
135.507481,34.620965,347,Osaka,Japan,2022/09/11 05:20:45+00,34.620965,135.507481,2003558,6232
,,348,Port Quarantine,Japan,2021/11/10 23:21:44+00,,,4463,4
130.115738,33.286977,349,Saga,Japan,2022/09/11 05:20:45+00,33.286977,130.115738,149524,210
139.347635,35.997101,350,Saitama,Japan,2022/09/11 05:20:45+00,35.997101,139.347635,1119817,2248
136.138064,35.215827,351,Shiga,Japan,2022/09/11 05:20:45+00,35.215827,136.138064,217211,300
132.554064,35.07076,352,Shimane,Japan,2022/09/11 05:20:45+00,35.07076,132.554064,76489,87
138.407784,34.916975,353,Shizuoka,Japan,2022/09/11 05:20:45+00,34.916975,138.407784,459592,707
139.819213,36.689912,354,Tochigi,Japan,2022/09/11 05:20:45+00,36.689912,139.819213,208518,460
134.242091,33.919178,355,Tokushima,Japan,2022/09/11 05:20:45+00,33.919178,134.242091,86978,158
139.446921,35.711343,356,Tokyo,Japan,2022/09/11 05:20:45+00,35.711343,139.446921,3034897,5612
133.863619,35.359069,357,Tottori,Japan,2022/09/11 05:20:45+00,35.359069,133.863619,58227,67
137.269346,36.637464,358,Toyama,Japan,2022/09/11 05:20:45+00,36.637464,137.269346,118609,163
,,359,Unknown,Japan,2021/11/10 23:21:44+00,,,8,0
135.505446,33.911879,360,Wakayama,Japan,2022/09/11 05:20:45+00,33.911879,135.505446,124347,233
140.102154,38.448396,361,Yamagata,Japan,2022/09/11 05:20:45+00,38.448396,140.102154,94001,178
131.573293,34.20119,362,Yamaguchi,Japan,2022/09/11 05:20:45+00,34.20119,131.573293,151600,359
138.611489,35.612364,363,Yamanashi,Japan,2022/09/11 05:20:45+00,35.612364,138.611489,90609,141
36.51,31.24,364,,Jordan,2022/09/11 05:20:45+00,31.24,36.51,1738867,14114
66.9237,48.0196,365,,Kazakhstan,2022/09/11 05:20:45+00,48.0196,66.9237,1481339,19043
37.9062,-0.0236,366,,Kenya,2022/09/11 05:20:45+00,-0.0236,37.9062,338290,5674
-168.734,-3.3704,367,,Kiribati,2022/09/11 05:20:45+00,-3.3704,-168.734,3430,13
127.5101,40.3399,368,,"Korea, North",2022/09/11 05:20:45+00,40.3399,127.5101,1,6
127.766922,35.907757,369,,"Korea, South",2022/09/11 05:20:45+00,35.907757,127.766922,24004887,27476
20.902977,42.602636,370,,Kosovo,2022/09/11 05:20:45+00,42.602636,20.902977,271922,3199
47.481766,29.31166,371,,Kuwait,2022/09/11 05:20:45+00,29.31166,47.481766,657745,2563
74.766098,41.20438,372,,Kyrgyzstan,2022/09/11 05:20:45+00,41.20438,74.766098,205835,2991
102.495496,19.85627,373,,Laos,2022/09/11 05:20:45+00,19.85627,102.495496,214897,757
24.6032,56.8796,374,,Latvia,2022/09/11 05:20:45+00,56.8796,24.6032,905904,5957
35.8623,33.8547,375,,Lebanon,2022/09/11 05:20:45+00,33.8547,35.8623,1212497,10645
28.2336,-29.61,376,,Lesotho,2022/09/11 05:20:45+00,-29.61,28.2336,34287,704
