OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths
713,Gibraltar,United Kingdom,36.1408,-5.3536,20069,108
714,Guernsey,United Kingdom,49.448196,-2.58949,30883,62
715,Isle of Man,United Kingdom,54.2361,-4.5481,38008,116
716,Jersey,United Kingdom,49.2138,-2.1358,59163,136
717,Montserrat,United Kingdom,16.742498,-62.187366,1276,8
718,Northern Ireland,United Kingdom,54.7877,-6.4923,713294,4831
719,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,7,0
720,Scotland,United Kingdom,56.4907,-4.2026,2095171,15588
721,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,6372,36
722,Unknown,United Kingdom,,,0,314
723,Wales,United Kingdom,52.1307,-3.7837,884498,10723
724,,Uruguay,-32.5228,-55.7658,981186,7455
725,,Uzbekistan,41.377491,64.585262,243893,1637
726,,Vanuatu,-15.3767,166.9592,11908,14
727,,Venezuela,6.4238,-66.5897,543759,5807
728,,Vietnam,14.058324,108.277199,11437970,43126
729,,West Bank and Gaza,31.9522,35.2332,702591,5706
730,,Winter Olympics 2022,39.9042,116.4074,535,0
731,,Yemen,15.552727,48.516388,11932,2155
732,,Zambia,-13.133897,27.849332,333220,4017
733,,Zimbabwe,-19.015438,29.154857,256870,5596
734,Mississippi,US,32.741646,-89.678696,918874,12821
735,Grand Princess,US,37.64894,-122.665479,103,3
736,Oklahoma,US,35.565342,-96.928917,1182071,16759
737,Delaware,US,39.318523,-75.507141,304393,3080
738,Minnesota,US,45.694454,-93.900192,1645653,13509
739,Illinois,US,40.349457,-88.986137,3716318,39445
740,Arkansas,US,34.969704,-92.373123,941464,11961
741,New Mexico,US,34.840515,-106.248482,613896,8483
742,Indiana,US,39.849426,-86.258278,1908325,24549
743,Louisiana,US,31.169546,-91.867805,1442885,17923
744,Texas,US,31.054487,-97.563461,7912298,90495
745,Wisconsin,US,44.268543,-89.616508,1843251,15120
746,Kansas,US,38.5266,-96.726486,869254,9029
747,Recovered,US,0,0,0,0
