Country,2019,2020,2021,2022,2023
Nauru,0.012,0.012,0.012,0.013,0.013
Nepal,28.832,29.349,29.748,30.152,30.562
Netherlands,17.282,17.408,17.475,17.591,17.691
New Zealand,4.986,5.086,5.111,5.125,5.188
Nicaragua,6.553,6.496,6.539,6.607,6.676
Niger,23.311,24.207,25.131,26.084,27.066
Nigeria,200.964,206.14,211.401,216.747,222.182
North Macedonia,2.076,2.069,2.065,2.06,2.06
Norway,5.357,5.385,5.415,5.475,5.508
Oman,4.618,4.445,4.527,4.934,5.092
Pakistan,213.95,218.24,222.59,227.027,231.552
Palau,0.018,0.018,0.018,0.018,0.018
Panama,4.219,4.279,4.337,4.395,4.453
Papua New Guinea,8.601,8.781,11.782,12.027,12.278
Paraguay,7.153,7.253,7.353,7.454,7.555
Peru,33.162,33.494,33.829,34.167,34.509
Philippines,107.29,108.77,110.2,111.57,112.893
Poland,37.973,37.958,37.84,37.654,37.609
Portugal,10.286,10.297,10.288,10.274,10.284
Puerto Rico,3.2,3.159,3.2,3.184,3.168
Qatar,2.799,2.834,2.748,2.831,2.873
Romania,19.414,19.329,19.202,19.042,19.03
Russia,146.749,146.171,145.558,143.442,143.204
Rwanda,12.374,12.663,12.956,13.246,13.499
Samoa,0.197,0.198,0.2,0.201,0.202
San Marino,0.034,0.034,0.034,0.034,0.034
São Tomé and Príncipe,0.213,0.218,0.223,0.227,0.232
Saudi Arabia,30.064,31.553,30.784,32.175,32.819
Senegal,16.296,16.744,17.204,17.676,18.162
Serbia,6.945,6.899,6.834,6.664,6.638
Seychelles,0.096,0.097,0.098,0.099,0.1
Sierra Leone,7.813,7.977,8.141,8.309,8.48
Singapore,5.704,5.686,5.454,5.637,5.659
Slovak Republic,5.45,5.458,5.46,5.435,5.437
Slovenia,2.081,2.096,2.109,2.107,2.114
Solomon Islands,0.67,0.687,0.704,0.722,0.74
Somalia,14.373,14.775,15.189,15.614,16.051
South Africa,58.775,59.622,60.143,60.604,61.528
South Sudan,13.378,13.779,14.179,14.59,15.013
Spain,47.105,47.356,47.331,47.615,47.81
Sri Lanka,21.803,21.919,22.156,22.396,n/a
St. Kitts and Nevis,0.057,0.057,0.058,0.058,0.059
St. Lucia,0.179,0.179,0.18,0.181,0.182
St. Vincent and the Grenadines,0.111,0.111,0.111,0.111,0.111
Sudan,43.222,44.345,45.498,46.681,47.895
Suriname,0.598,0.603,0.61,0.617,0.624
Sweden,10.328,10.379,10.452,10.522,10.814
Switzerland,8.545,8.606,8.67,8.739,8.805
Syria,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,23.603,23.561,23.375,23.265,23.251
Tajikistan,9.292,9.475,9.657,9.836,10.013
Tanzania,56.322,58.001,59.73,61.51,63.343
Thailand,69.626,69.8,69.951,70.078,70.183
Timor-Leste,1.271,1.29,1.31,1.332,1.351
Togo,8.243,8.443,8.647,8.856,9.07
Tonga,0.1,0.1,0.1,0.1,0.1
Trinidad and Tobago,1.395,1.399,1.407,1.414,1.421
Tunisia,11.783,11.903,12.019,12.129,12.235
Türkiye,83.155,83.614,84.68,85.28,86.268
Turkmenistan,5.939,6.061,6.152,6.24,6.326
Tuvalu,0.011,0.011,0.011,0.011,0.011
Uganda,39.823,41.222,42.46,43.734,45.046
Ukraine,41.733,41.419,40.998,34.84,33.192
United Arab Emirates,9.504,9.282,9.558,9.865,10.062
United Kingdom,66.797,67.081,67.28,67.791,68.122
United States,328.547,331.257,332.314,333.53,335.143
Uruguay,3.519,3.531,3.543,3.555,3.567
Uzbekistan,33.256,33.905,34.559,35.271,36.025
Vanuatu,0.292,0.302,0.312,0.323,0.334
Venezuela,27.817,27.951,27.586,26.917,26.54
Vietnam,96.484,97.583,98.506,99.462,100.399
West Bank and Gaza,4.977,5.101,5.227,5.355,5.479
Yemen,31.166,31.927,32.641,33.322,34.071
Zambia,18.38,18.928,19.473,20.018,20.57
Zimbabwe,14.905,15.189,15.492,15.817,16.164
