Country,2019,2020,2021,2022,2023
Jordan,"4,411.72","4,277.26","4,399.65","4,613.06","4,850.66"
Kazakhstan,"9,750.43","9,062.96","10,106.66","11,409.46","12,968.43"
Kenya,"2,107.74","2,067.99","2,208.69","2,245.28","2,187.65"
Kiribati,"1,492.13","1,492.10","1,877.59","1,821.55","1,968.03"
Korea,"31,902.42","31,728.31","35,142.27","32,418.34","33,147.23"
Kosovo,"4,433.00","4,297.83","5,324.31","5,332.37","5,912.08"
Kuwait,"28,513.12","22,682.90","28,834.43","36,092.39","32,215.03"
Kyrgyz Republic,"1,466.96","1,270.96","1,390.90","1,717.71","1,829.59"
Lao P.D.R.,"2,602.62","2,529.00","2,495.96","2,046.86","1,878.71"
Latvia,"17,889.75","18,106.33","21,014.99","21,946.92","24,929.18"
Lebanon,"7,421.49","3,588.71","3,044.80","3,283.41",n/a
Lesotho,"1,159.37","1,034.70","1,219.04","1,166.20","1,110.18"
Liberia,623.887,600.475,677.387,749.187,800.213
Libya,"10,532.11","7,062.56","5,249.50","5,577.01","5,872.22"
Lithuania,"19,600.56","20,347.62","23,728.30","24,988.69","28,481.99"
Luxembourg,"113,860.53","117,616.15","134,925.16","126,598.10","135,605.44"
Macao SAR,"81,231.55","37,270.80","44,091.80","31,539.49","54,295.66"
Madagascar,531.75,477.375,516.529,523.084,529.56
Malawi,543.685,567.59,580.967,567.454,579.701
Malaysia,"11,228.29","10,400.22","11,475.70","12,465.61","13,034.07"
Maldives,"15,060.82","9,892.12","14,029.91","15,962.49","17,558.75"
Mali,840.211,831.034,902.677,847.461,912.643
Malta,"32,405.73","29,618.07","35,069.22","34,819.27","38,715.19"
Marshall Islands,"5,244.74","5,465.26","5,804.07","5,839.97","6,141.23"
Mauritania,"1,987.27","2,076.43","2,332.90","2,284.93","2,337.91"
Mauritius,"11,407.85","9,005.35","9,080.26","10,227.04","11,751.51"
Mexico,"10,311.55","8,770.02","10,177.04","11,265.54","13,803.74"
Micronesia,"3,979.63","3,898.43","3,873.94","4,038.77","4,357.64"
Moldova,"4,376.65","4,377.54","5,293.21","5,726.33","6,410.93"
Mongolia,"4,309.05","3,965.10","4,482.85","4,953.55","5,348.07"
Montenegro,"8,911.27","7,688.55","9,433.03","9,820.09","11,338.80"
Morocco,"3,622.68","3,375.44","3,905.43","3,570.12","3,979.87"
Mozambique,508.164,454.063,501.507,581.038,647.135
Myanmar,"1,302.28","1,527.43","1,216.81","1,227.70","1,381.06"
Namibia,"5,099.43","4,225.73","4,879.20","4,854.45","4,785.68"
Nauru,"10,567.41","10,346.10","11,841.08","12,088.57","11,756.99"
Nepal,"1,185.68","1,139.19","1,241.34","1,354.07","1,352.61"
Netherlands,"52,672.50","52,222.36","58,960.71","57,427.76","61,769.70"
New Zealand,"42,287.72","41,307.21","48,792.62","47,226.10","48,071.75"
Nicaragua,"1,940.12","1,952.18","2,163.08","2,371.68","2,599.26"
Niger,554.124,568.606,593.802,592.241,630.8
Nigeria,"2,229.85","2,083.16","2,088.09","2,202.46","1,755.33"
North Macedonia,"6,073.00","5,986.55","6,698.16","6,599.90","7,672.01"
Norway,"76,303.68","68,275.28","90,540.80","105,825.93","99,266.30"
Oman,"19,069.31","17,076.32","19,479.40","23,240.14","21,265.63"
Pakistan,"1,500.68","1,376.51","1,565.58","1,650.28","1,471.10"
Palau,"15,876.32","14,624.10","13,165.72","13,941.39","15,113.30"
Panama,"16,526.42","13,342.72","15,540.80","17,409.63","18,493.47"
Papua New Guinea,"2,877.50","2,715.97","2,233.29","2,621.83","2,581.18"
Paraguay,"5,302.24","4,885.40","5,433.25","5,597.53","5,842.96"
Peru,"7,008.54","6,150.90","6,676.95","7,158.77","7,668.67"
Philippines,"3,512.20","3,325.84","3,576.11","3,623.59","3,859.19"
Poland,"15,694.59","15,792.61","18,008.15","18,342.68","22,393.03"
Portugal,"23,333.32","22,224.56","24,703.71","24,540.38","26,878.87"
Puerto Rico,"32,851.88","32,608.05","33,289.38","36,123.37","37,093.33"
Qatar,"63,007.70","50,962.50","65,380.86","83,521.00","81,968.34"
Romania,"12,928.15","13,021.96","14,874.18","15,821.13","18,413.47"
Russia,"11,555.27","10,180.66","12,617.86","15,645.69","13,005.71"
Rwanda,836.016,803.372,853.124,"1,004.72","1,031.69"
Samoa,"4,632.08","4,379.24","4,225.20","4,142.54","4,638.15"
San Marino,"48,043.86","45,640.98","54,733.24","52,447.43","58,540.80"
São Tomé and Príncipe,"1,953.57","2,181.87","2,370.31","2,413.09","2,904.72"
Saudi Arabia,"27,892.86","23,271.41","28,215.16","34,441.06","32,586.17"
Senegal,"1,436.22","1,465.24","1,603.35","1,569.55","1,714.65"
Serbia,"7,417.21","7,733.80","9,184.20","9,528.43","11,301.22"
Seychelles,"19,361.55","14,199.34","15,306.13","19,982.73","20,889.55"
Sierra Leone,521.396,508.812,509.482,479.777,414.962
Singapore,"66,070.47","61,274.01","77,710.07","82,807.65","87,884.16"
Slovak Republic,"19,396.97","19,539.38","21,747.29","21,263.25","24,471.09"
Slovenia,"26,138.90","25,617.87","29,338.09","28,526.62","32,350.02"
Solomon Islands,"2,417.33","2,236.42","2,194.65","2,204.61","2,285.40"
Somalia,655.442,622.951,647.762,667.318,717.406
South Africa,"6,622.63","5,672.28","6,983.51","6,684.48","6,190.74"
South Sudan,302.262,388.423,418.594,585.003,417.438
Spain,"29,603.30","26,968.37","30,563.55","29,799.75","33,090.24"
Sri Lanka,"4,082.69","3,852.39","3,996.57","3,342.00",n/a
St. Kitts and Nevis,"19,581.71","15,475.75","14,879.69","16,565.78","18,158.49"
St. Lucia,"11,773.43","8,496.10","10,295.00","12,703.96","13,572.26"
St. Vincent and the Grenadines,"8,234.20","7,851.36","7,873.23","8,538.69","9,359.90"
Sudan,777.066,777.259,764.588,723.032,533.845
Suriname,"6,662.87","4,786.83","4,896.07","5,687.18","5,667.11"
Sweden,"51,694.50","52,706.29","61,203.12","56,188.32","55,215.85"
Switzerland,"84,474.47","86,109.53","93,700.47","93,657.23","102,865.57"
Syria,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,"25,903.17","28,571.44","33,186.34","32,687.37","32,339.70"
Tajikistan,893.318,858.445,925.135,"1,066.75","1,180.06"
Tanzania,"1,077.74","1,130.14","1,170.91","1,252.88","1,326.63"
Thailand,"7,812.89","7,169.88","7,227.48","7,069.59","7,297.99"
Timor-Leste,"1,595.88","1,673.49","2,763.79","3,682.47","1,497.41"
Togo,848.341,876.511,964.325,919.575,"1,004.47"
Tonga,"5,092.87","4,887.49","4,695.16","4,977.97","5,487.67"
Trinidad and Tobago,"16,600.89","14,435.66","17,004.78","21,252.66","19,621.79"
Tunisia,"3,556.38","3,573.84","3,884.71","3,822.30","4,190.60"
Türkiye,"9,145.82","8,612.90","9,663.88","10,621.97","13,383.92"
Turkmenistan,"8,917.98","8,776.56","10,463.06","12,379.58","12,934.24"
Tuvalu,"5,046.83","4,820.26","5,571.91","5,452.06","5,772.92"
Uganda,951.523,920.065,"1,005.08","1,103.11","1,163.03"
Ukraine,"3,688.95","3,780.08","4,874.31","4,606.80","5,224.59"
United Arab Emirates,"43,981.61","37,648.96","43,438.52","51,399.96","50,602.33"
United Kingdom,"42,797.26","40,347.36","46,421.61","45,461.07","48,912.78"
United States,"65,077.30","63,577.34","70,159.77","76,343.25","80,412.41"
Uruguay,"17,636.70","15,198.37","17,333.61","20,022.14","21,377.63"
Uzbekistan,"1,812.74","1,776.27","2,013.97","2,279.97","2,509.16"
Vanuatu,"3,187.38","3,341.00","3,017.67","3,325.15","3,491.86"
Venezuela,"2,624.41","1,566.60","2,090.40","3,421.75","3,474.33"
Vietnam,"3,439.10","3,548.89","3,753.43","4,086.52","4,316.34"
West Bank and Gaza,"3,442.75","3,044.74","3,464.38",n/a,n/a
Yemen,702.286,633.311,590.136,706.679,617.67
Zambia,"1,268.12",956.832,"1,137.34","1,485.79","1,435.89"
Zimbabwe,"1,747.35","1,771.29","2,323.09","1,990.93","2,005.88"
